开源企业,核心开源项目,开源项目类型,组织,项目类型,软件栈,开源项目来源,商业模式,许可模式,开源许可类型
Acquia,Drupal,公司项目,,Web内容管理系统,4_应用,内部,开放核心,GPL-2.0+商业许可,限制型
Alfresco,Alfresco,公司项目,,企业内容管理（ECM）和业务流程管理（BPM）,4_应用,内部,开放核心,LGPL-3.0+商业许可,限制型
Artifex,Ghostscript,公司项目,,PostScript语言和PDF文件的解释器,4_应用,内部,双重授权,AGPL-3.0、商业许可,限制型
Automattic,WordPress,社区项目,wordpress,内容管理系统,4_应用,外部,开放核心,GPL-2.0+商业许可,限制型
Canonical,Ubuntu,公司项目,,操作系统（Linux）,2_OS,内部,支持服务,GPL-2.0,限制型
Chef,chef,公司项目,,配置管理工具,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Cloudbess,Jenkins,Internet规模,Sun,开发者工具/CI,4_应用,外部,开放核心,MIT+商业许可,宽松型
Cloudera,Hadoop,Internet规模,Google,大数据/Hadoop生态系统,1_基础设施,外部,开放核心,Apache-2.0+商业许可,宽松型
cockroach labs,CockroachDB大部分核心,公司项目,,分布式数据库,3_中间件,内部,业务源,BSL1.1、Apache-2.0,宽松型
cockroach labs,CockroachDB部分核心,公司项目,,分布式数据库,3_中间件,内部,开放核心+混合许可,CCL (free)+ CCL (paid),自定义
confluent,Kafka,Internet规模,Linkedln,大数据/中间件/数据流,4_应用,外部,开放核心,Apache-2.0+商业许可,宽松型
Couchbase,Couchbase,拆分项目,LiveJournal,NoSQL数据库,3_中间件,内部,开放核心,Apache-2.0+商业许可,宽松型
Databricks,Spark,学术项目,AMPLab,云平台,5_SAAS,外部,SAAS,Apache-2.0,宽松型
Datastax,Cassandra,Internet规模,Facebook,NoSQL数据库,3_中间件,外部,开放核心,Apache-2.0+商业许可,宽松型
Docker,Docker,拆分项目,dotCloud,开发者/运维/基础设施工具,1_基础设施,内部,开放核心,Apache 2.0+商业许可,宽松型
Elastic,Elasticsearch,公司项目,,分布式搜索引擎+工具,4_应用,内部,开放核心+混合许可,SSPL + Elastic,自定义
Enterprise DB,postgresql,学术项目,UCB,数据库,3_中间件,外部,开放核心,PostgreSQL+商业许可,宽松型
Fastly,Varnish,Internet规模,Verdens Gang,CDN,4_应用,外部,开放核心,BSD-2-Clause+商业许可,宽松型
ForgeRock,OpenAM/IDM/DJ/IG,拆分项目,Sun,身份及访问管理,4_应用,内部,开放核心,CDDL-1.1+商业许可,限制型
GitHub(Microsoft收购),Git,Internet规模,Linus,分布式源代码版本控制,5_SAAS,外部,SAAS,GPL-2.0,限制型
GitLab,Git,Internet规模,Linus,分布式源代码版本控制,5_SAAS,外部,SAAS,GPL-2.0,限制型
HashiCorp,Vagrant等,公司项目,,开发/操作/基础设施工具,4_应用,内部,开放核心,MPL-2.0+商业许可,限制型
Hortonworks(与Cloudera合并),Hadoop,Internet规模,Google,大数据/Hadoop生态系统,1_基础设施,外部,支持服务,Apache 2.0,宽松型
Instructure,Canvas,公司项目,,图形库,4_应用,内部,开放核心,AGPL-3.0+商业许可,限制型
JetBrains,IntelliJ,公司项目,,开发者工具,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Jfrog,Artifactory,公司项目,,软件工件仓库,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Kaltura,Kalyura,公司项目,,视频编辑平台,4_应用,内部,开放核心,AGPL-3.0+商业许可,限制型
Liferay,Liferay Portal,公司项目,,企业门户网站,4_应用,内部,开放核心,LGPL-2.1++商业许可,限制型
Linden Lab,libsecondlife,公司项目,,虚拟游戏,4_应用,内部,开放核心,BSD-3-Clause+商业许可,宽松型
Magento(Adobe收购),Magento,公司项目,,Web内容管理系统,4_应用,内部,开放核心,OSL3.0+商业许可,限制型
Mapbox,Mapbox GL JS,公司项目,,地图软件,4_应用,内部,开放核心,BSD-3-Clause+商业许可,宽松型
